,PUMA,Pov_risk,SERIALNO_x,SERIALNO_y,percent
139,4106,1.0,79,467,16.9164882227
140,4106,2.0,298,467,63.8115631692
141,4107,0.0,89,335,26.5671641791
142,4107,1.0,90,335,26.8656716418
143,4107,2.0,156,335,46.5671641791
144,4108,0.0,63,458,13.7554585153
145,4108,1.0,72,458,15.7205240175
146,4108,2.0,323,458,70.5240174672
147,4109,0.0,84,453,18.5430463576
148,4109,1.0,96,453,21.1920529801
149,4109,2.0,273,453,60.2649006623
150,4110,0.0,112,693,16.1616161616
151,4110,1.0,130,693,18.759018759
152,4110,2.0,451,693,65.0793650794
153,4111,0.0,115,552,20.8333333333
154,4111,1.0,117,552,21.1956521739
155,4111,2.0,320,552,57.9710144928
156,4112,0.0,150,758,19.7889182058
157,4112,1.0,187,758,24.6701846966
158,4112,2.0,421,758,55.5408970976
159,4113,0.0,80,412,19.4174757282
160,4113,1.0,98,412,23.786407767
161,4113,2.0,234,412,56.7961165049
162,4114,0.0,50,285,17.5438596491
163,4114,1.0,66,285,23.1578947368
164,4114,2.0,169,285,59.298245614
